,fly_1,fly_2,fly_3
0,612.506,252.955,394.324
1,597.449,254.735,397.294
2,576.272,253.013,379.559
3,614.042,263.667,418.118
4,576.649,260.323,370.971
5,600.539,262.593,360.588
6,597.006,280.071,380.235
7,593.326,274.433,353.765
8,556.27,278.024,391.5
9,534.39,281.005,380.294
10,570.348,270.978,371.735
11,602.815,272.406,386.0
12,614.483,279.053,374.382
13,630.124,278.246,378.147
14,626.402,275.894,377.382
15,620.022,273.427,379.971
16,615.006,275.739,361.294
17,640.84,264.97,382.235
18,622.84,290.775,374.265
19,619.786,297.963,392.559
20,627.093,284.436,394.676
21,590.862,281.94,370.176
22,664.854,280.073,368.912
23,602.52,280.893,332.912
24,634.542,283.471,338.235
25,662.014,277.181,388.765
26,669.43,292.343,379.941
27,665.478,272.183,387.353
28,680.045,273.783,412.324
29,692.508,287.496,401.706
30,695.017,294.616,384.324
31,904.784,314.083,472.176
32,1009.722,345.231,486.412
33,998.548,356.372,539.0
34,1118.632,369.233,545.647
35,1084.964,397.242,488.5
36,1087.862,394.356,495.706
37,1038.393,393.328,582.235
38,1124.379,409.881,588.294
39,1174.941,430.324,544.412
40,1197.0,451.938,542.059
41,1197.77,420.906,535.029
42,1210.862,426.186,553.294
43,1230.955,449.098,603.412
44,1174.539,441.741,521.676
45,1143.155,420.528,515.118
46,1110.77,449.896,580.529
47,1157.472,467.275,583.235
48,1188.907,447.862,596.647
49,1127.584,444.292,546.559
50,1152.669,389.034,613.382
51,1188.59,397.623,572.0
52,1225.239,409.423,536.618
53,1188.48,440.936,603.618
54,1160.031,464.377,575.059
55,1091.815,459.607,566.471
56,1074.017,440.261,602.206
57,1054.382,426.263,511.941
58,1114.961,438.362,501.147
59,1109.711,440.778,538.0
60,1044.323,442.381,446.412
61,1001.104,435.697,507.147
62,980.062,425.581,546.471
63,939.205,392.985,536.588
64,1006.461,384.077,549.147
65,945.728,378.147,488.176
66,913.421,370.509,473.588
67,954.25,376.792,425.765
68,830.413,360.007,455.059
69,830.938,345.685,486.824
70,856.0,347.102,424.676
71,864.256,346.89,455.5
72,804.86,349.685,473.882
73,812.559,330.772,442.382
74,750.621,326.885,438.529
75,766.017,348.922,421.529
76,775.464,328.619,472.706
77,811.596,328.366,474.794
78,789.587,325.82,453.0
79,795.053,306.94,411.676
80,796.169,304.343,391.294
81,767.815,297.786,395.294
82,789.261,323.501,408.971
83,754.699,311.258,429.559
84,709.669,307.63,396.765
85,679.885,310.251,398.559
86,721.719,302.525,403.559
87,731.34,321.012,414.529
88,704.093,294.591,389.765
89,730.348,293.64,389.353
90,786.444,313.32,419.706
91,942.593,345.628,464.529
92,1012.303,369.344,489.382
93,1006.809,374.899,517.647
94,1046.323,392.414,485.618
95,992.579,401.528,532.412
96,1072.868,403.614,551.647
97,1106.728,397.263,552.618
98,1182.166,415.045,542.235
99,1184.183,426.033,546.588
100,1005.441,408.845,596.059
101,1040.171,415.591,591.794
102,1024.657,428.735,546.206
103,1114.778,435.762,545.147
104,894.857,446.589,617.647
105,979.82,435.626,584.382
106,912.646,422.558,550.5
107,939.75,450.61,572.471
108,974.545,452.61,595.529
109,1029.891,436.546,569.559
110,1090.045,420.638,584.235
111,1100.051,435.23,559.324
112,1074.891,452.833,591.118
113,1137.511,427.89,548.441
114,1139.669,428.971,551.118
115,1142.916,429.948,569.941
116,1175.166,422.057,564.5
117,1139.239,426.327,573.176
118,1127.978,416.943,499.147
119,1155.275,446.007,516.0
120,1134.865,455.0,460.265
121,1058.264,417.849,459.0
122,1036.893,401.159,480.382
123,1022.205,381.053,444.265
124,981.208,383.869,474.353
125,883.68,379.202,432.324
126,919.025,375.776,430.882
127,819.191,380.373,368.794
128,824.719,366.0,368.618
129,812.07,361.142,379.206
130,830.921,366.966,423.235
131,856.815,367.411,410.5
132,844.654,355.593,381.618
133,847.514,354.556,400.882
134,838.767,336.866,421.118
135,784.233,336.688,368.618
136,793.84,347.627,373.559
137,782.36,327.422,384.235
138,752.264,328.882,393.324
139,740.093,327.037,397.0
140,763.823,324.276,388.176
141,771.483,312.335,375.353
142,761.199,313.272,365.265
143,721.014,312.364,376.206
144,754.25,321.675,395.382
145,723.149,311.307,362.059
146,724.376,305.413,384.676
147,681.214,290.935,333.441
148,727.337,295.245,337.794
149,585.536,290.07,354.353
150,717.301,321.015,376.794
151,923.478,337.075,418.971
152,950.806,369.169,418.853
153,1001.211,391.524,418.147
154,1005.25,381.808,444.971
155,962.652,395.561,446.529
156,1009.817,405.587,477.059
157,1139.871,412.05,449.294
158,942.551,421.655,482.324
159,901.073,429.823,445.265
160,999.744,439.854,476.412
161,1049.792,411.042,503.912
162,1056.845,435.253,530.294
163,1103.753,428.872,526.824
164,1144.728,446.94,535.824
165,1073.629,451.734,546.706
166,1107.112,448.131,523.5
167,1122.354,459.064,540.353
168,1044.683,459.45,573.853
169,983.997,466.987,537.059
170,996.407,455.317,502.324
171,1014.334,475.233,547.794
172,1055.315,482.807,535.882
173,1045.978,499.347,519.471
174,1056.77,485.481,519.882
175,1042.02,462.004,523.588
176,975.112,440.899,561.176
177,1009.407,461.077,582.971
178,902.758,428.455,557.265
179,869.753,419.984,586.118
180,941.098,407.288,564.971
181,958.559,398.003,554.706
182,902.031,420.283,526.588
183,916.258,411.079,505.588
184,933.624,384.09,483.794
185,737.0,369.894,490.206
186,867.834,365.669,462.853
187,843.809,360.66,467.882
188,710.753,365.003,448.912
189,730.286,357.279,429.441
190,423.202,351.427,464.882
191,841.261,335.63,440.294
192,589.68,348.972,374.294
193,634.416,344.122,413.412
194,664.079,321.431,404.412
195,780.708,300.459,435.706
196,748.904,300.042,411.618
197,784.506,310.571,367.294
198,593.528,303.201,391.647
199,705.084,293.791,417.647
200,625.739,307.507,408.324
201,559.166,302.84,392.882
202,616.093,307.975,435.206
203,590.66,319.534,400.059
204,657.43,325.122,394.206
205,631.315,311.542,433.559
206,679.739,295.738,403.206
207,669.264,286.413,376.235
208,664.596,304.839,371.382
209,682.096,308.144,410.941
